business:start-org:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Start_Place
business:start-org:org	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Start_Organization
business:start-org:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Start_Time
business:start-org:agent	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Start_Agent
business:end-org:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.End_Place
business:end-org:org	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.End_Organization
business:end-org:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.End_Time
business:merge-org:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Merge_Place
business:merge-org:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Merge_Time
business:merge-org:org	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.Merge_Organization
business:declare-bankruptcy:org	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.DeclareBankruptcy_Organization
business:declare-bankruptcy:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.DeclareBankruptcy_Place
business:declare-bankruptcy:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Business.DeclareBankruptcy_Time
conflict:attack:attacker	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Attacker
conflict:attack:agent	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Attacker
conflict:attack:instrument	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Instrument
conflict:attack:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Place
conflict:attack:target	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Target
conflict:attack:victim	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Target
conflict:attack:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Attack_Time
conflict:demonstrate:entity	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Demonstrate_Demonstrator
conflict:demonstrate:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Demonstrate_Place
conflict:demonstrate:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Conflict.Demonstrate_Time
contact:correspondence:entity	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Participant
contact:correspondence:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Place
contact:correspondence:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Time
contact:phone-write:entity	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Participant
contact:phone-write:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Place
contact:phone-write:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Correspondence_Time
contact:meet:entity	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Meet_Participant
contact:meet:place	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Meet_Place
contact:meet:time	https://tac.nist.gov/tracks/SM-KBP/2018/ontologies/SeedlingOntology#Contact.Meet_Time
